09/11/2017 18:53:06	INFO 	BrokersCase2-brokersCase2_brokerSignUpNegative_11		Testcase executed on the Node IP: localhost
09/11/2017 18:53:06	INFO 	BrokersCase2-brokersCase2_brokerSignUpNegative_11		***** Dataprovider Iteration No: 1 : *****
09/11/2017 18:53:10	INFO 	BrokersCase2-brokersCase2_brokerSignUpNegative_11		Successfully find 'By.xpath: //a[@title='Broker Signup']' element on 'HashChing - Variable and fixed home loan deals and rates from your local mortgage broker' page
09/11/2017 18:53:10	INFO 	BrokersCase2-brokersCase2_brokerSignUpNegative_11		Info. Element 'By.xpath: //a[@title='Broker Signup']' exists on 'HashChing - Variable and fixed home loan deals and rates from your local mortgage broker' page.
09/11/2017 18:53:17	INFO 	BrokersCase2-brokersCase2_brokerSignUpNegative_11		Successfully find 'By.id: BrokerRegister' element on 'Home Loan Broker Registration Australia' page
09/11/2017 18:53:17	INFO 	BrokersCase2-brokersCase2_brokerSignUpNegative_11		Info. Element 'By.id: BrokerRegister' exists on 'Home Loan Broker Registration Australia' page.
09/11/2017 18:54:03	INFO 	BrokersCase2-brokersCase2_brokerSignUpNegative_11		Stopping the class
09/11/2017 18:54:25	INFO 	BrokersCase2-brokersCase2_brokerSignUpNegative_11		hello
09/11/2017 18:54:25	INFO 	BrokersCase2-brokersCase2_brokerSignUpNegative_11		Staring the class
