13/11/2017 22:13:48	INFO 	AutoAssignmentCase1-autoAssignmentCase1_submitLead_autoAssignToBroker_samePostCode_11		Testcase executed on the Node IP: localhost
13/11/2017 22:13:48	INFO 	AutoAssignmentCase1-autoAssignmentCase1_submitLead_autoAssignToBroker_samePostCode_11		***** Dataprovider Iteration No: 1 : *****
13/11/2017 22:14:17	INFO 	AutoAssignmentCase1-autoAssignmentCase1_submitLead_autoAssignToBroker_samePostCode_11		Get text for Broker Name with Lead Count
13/11/2017 22:14:17	INFO 	AutoAssignmentCase1-autoAssignmentCase1_submitLead_autoAssignToBroker_samePostCode_11		Successfully find 'By.xpath: //select[@class='brokers_active_dropdown']//option[contains(text(),'Arvind Test')]' element on 'Hashching Admin' page
13/11/2017 22:14:32	INFO 	AutoAssignmentCase1-autoAssignmentCase1_submitLead_autoAssignToBroker_samePostCode_11		Successfully find 'By.xpath: //a[@title='Broker Finder']' element on 'HashChing - Variable and fixed home loan deals and rates from your local mortgage broker' page
13/11/2017 22:14:33	INFO 	AutoAssignmentCase1-autoAssignmentCase1_submitLead_autoAssignToBroker_samePostCode_11		Info. Element 'By.xpath: //a[@title='Broker Finder']' exists on 'HashChing - Variable and fixed home loan deals and rates from your local mortgage broker' page.
13/11/2017 22:14:38	INFO 	AutoAssignmentCase1-autoAssignmentCase1_submitLead_autoAssignToBroker_samePostCode_11		Successfully find 'By.xpath: //h3[contains(text(),'Mortgage Broker Finder')]' element on 'Mortgage broker finder - NSW, VIC, QLD, ACT, TAS, WA, NT' page
13/11/2017 22:14:38	INFO 	AutoAssignmentCase1-autoAssignmentCase1_submitLead_autoAssignToBroker_samePostCode_11		Info. Element 'By.xpath: //h3[contains(text(),'Mortgage Broker Finder')]' exists on 'Mortgage broker finder - NSW, VIC, QLD, ACT, TAS, WA, NT' page.
13/11/2017 22:15:50	INFO 	AutoAssignmentCase1-autoAssignmentCase1_submitLead_autoAssignToBroker_samePostCode_11		Get text for Broker Name with Lead Count
13/11/2017 22:15:50	INFO 	AutoAssignmentCase1-autoAssignmentCase1_submitLead_autoAssignToBroker_samePostCode_11		Successfully find 'By.xpath: //select[@class='brokers_active_dropdown']//option[contains(text(),'Arvind Test')]' element on 'Hashching Admin' page
13/11/2017 22:16:06	INFO 	AutoAssignmentCase1-autoAssignmentCase1_submitLead_autoAssignToBroker_samePostCode_11		Stopping the class
13/11/2017 22:16:28	INFO 	AutoAssignmentCase1-autoAssignmentCase1_submitLead_autoAssignToBroker_samePostCode_11		hello
13/11/2017 22:16:28	INFO 	AutoAssignmentCase1-autoAssignmentCase1_submitLead_autoAssignToBroker_samePostCode_11		Staring the class
