13/11/2017 20:47:56	INFO 	BrokersCase1-brokersCase1_brokerSignUpPositive_11		Testcase executed on the Node IP: localhost
13/11/2017 20:47:56	INFO 	BrokersCase1-brokersCase1_brokerSignUpPositive_11		***** Dataprovider Iteration No: 1 : *****
13/11/2017 20:48:01	INFO 	BrokersCase1-brokersCase1_brokerSignUpPositive_11		Successfully find 'By.xpath: //a[@title='Broker Signup']' element on 'HashChing - Variable and fixed home loan deals and rates from your local mortgage broker' page
13/11/2017 20:48:01	INFO 	BrokersCase1-brokersCase1_brokerSignUpPositive_11		Info. Element 'By.xpath: //a[@title='Broker Signup']' exists on 'HashChing - Variable and fixed home loan deals and rates from your local mortgage broker' page.
13/11/2017 20:48:10	INFO 	BrokersCase1-brokersCase1_brokerSignUpPositive_11		Successfully find 'By.id: BrokerRegister' element on 'Home Loan Broker Registration Australia' page
13/11/2017 20:48:10	INFO 	BrokersCase1-brokersCase1_brokerSignUpPositive_11		Info. Element 'By.id: BrokerRegister' exists on 'Home Loan Broker Registration Australia' page.
13/11/2017 20:49:21	INFO 	BrokersCase1-brokersCase1_brokerSignUpPositive_11		Successfully find 'By.xpath: //div[contains(@class,'languages')]//input' element on 'Home Loan Broker Registration Australia' page
13/11/2017 20:49:21	INFO 	BrokersCase1-brokersCase1_brokerSignUpPositive_11		Info. Element 'By.xpath: //div[contains(@class,'languages')]//input' exists on 'Home Loan Broker Registration Australia' page.
13/11/2017 20:49:34	INFO 	BrokersCase1-brokersCase1_brokerSignUpPositive_11		Successfully find 'By.id: email' element on '' page
13/11/2017 20:49:34	INFO 	BrokersCase1-brokersCase1_brokerSignUpPositive_11		Info. Element 'By.id: email' exists on '' page.
13/11/2017 20:49:59	INFO 	BrokersCase1-brokersCase1_brokerSignUpPositive_11		Stopping the class
13/11/2017 20:50:21	INFO 	BrokersCase1-brokersCase1_brokerSignUpPositive_11		hello
13/11/2017 20:50:21	INFO 	BrokersCase1-brokersCase1_brokerSignUpPositive_11		Staring the class
